2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=477 | SECTION=0 | START_TIME=2024-06-12 18:05:13 | LOG_ENTRY=데이터 개수가 16여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=478 | SECTION=0 | START_TIME=2024-06-12 18:21:39 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=479 | SECTION=0 | START_TIME=2024-06-12 18:49:02 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:49 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=480 | SECTION=0 | START_TIME=2024-06-12 19:34:14 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=481 | SECTION=0 | START_TIME=2024-06-12 20:29:40 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=482 | SECTION=0 | START_TIME=2024-06-12 20:53:19 | LOG_ENTRY=데이터 개수가 75여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=483 | SECTION=0 | START_TIME=2024-06-12 22:13:04 | LOG_ENTRY=데이터 개수가 152여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=484 | SECTION=0 | START_TIME=2024-06-13 00:56:38 | LOG_ENTRY=데이터 개수가 124여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=485 | SECTION=0 | START_TIME=2024-06-13 03:06:52 | LOG_ENTRY=데이터 개수가 16여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=486 | SECTION=0 | START_TIME=2024-06-13 07:42:54 | LOG_ENTRY=데이터 개수가 20여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=487 | SECTION=0 | START_TIME=2024-06-13 08:56:48 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=488 | SECTION=0 | START_TIME=2024-06-13 09:20:01 | LOG_ENTRY=데이터 개수가 48여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=489 | SECTION=0 | START_TIME=2024-06-16 10:50:25 | LOG_ENTRY=데이터 개수가 38여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:50 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=490 | SECTION=0 | START_TIME=2024-06-17 10:12:28 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:53 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=491 | SECTION=0 | START_TIME=2024-06-17 10:43:39  | LOG_ENTRY=전처리 후 모델 데이터 프레임이 존재하지 않아 통계 알고리즘만 단독으로 진행합니다. | TYPE=STATS | is_processed=True
2024-11-07 13:49:53 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=492 | SECTION=0 | START_TIME=2024-06-17 17:02:17 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:53 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=493 | SECTION=0 | START_TIME=2024-06-17 17:26:04 | LOG_ENTRY=데이터 개수가 123여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:53 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=494 | SECTION=0 | START_TIME=2024-06-19 20:54:18 | LOG_ENTRY=데이터 개수가 23여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:53 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=495 | SECTION=0 | START_TIME=2024-06-19 21:18:16 | LOG_ENTRY=데이터 개수가 147여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=496 | SECTION=0 | START_TIME=2024-06-20 00:56:37  | LOG_ENTRY=전처리 후 모델 데이터 프레임이 존재하지 않아 통계 알고리즘만 단독으로 진행합니다. | TYPE=STATS | is_processed=True
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=498 | SECTION=0 | START_TIME=2024-06-20 05:57:33 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=499 | SECTION=0 | START_TIME=2024-06-20 06:13:23 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=500 | SECTION=0 | START_TIME=2024-06-20 06:29:11 | LOG_ENTRY=데이터 개수가 13여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=501 | SECTION=0 | START_TIME=2024-06-20 06:51:52 | LOG_ENTRY=데이터 개수가 12여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-11-07 13:49:56 - INFO - SHIP_ID=T170524-00101 | OP_INDEX=502 | SECTION=0 | START_TIME=2024-06-20 07:06:32 | LOG_ENTRY=데이터 개수가 1여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
