2024-12-10 14:02:21 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=47 | SECTION=0 | START_TIME=2022-05-06 14:41:26 | LOG_ENTRY=데이터 개수가 43여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:21 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=48 | SECTION=0 | START_TIME=2022-05-06 14:41:26 | LOG_ENTRY=데이터 개수가 43여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:21 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=49 | SECTION=0 | START_TIME=2022-05-06 15:24:38 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:22 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=50 | SECTION=0 | START_TIME=2022-05-06 15:47:59 | LOG_ENTRY=데이터 개수가 126여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:22 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=51 | SECTION=0 | START_TIME=2022-05-06 15:48:00 | LOG_ENTRY=데이터 개수가 126여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:22 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=52 | SECTION=0 | START_TIME=2022-05-06 17:54:38 | LOG_ENTRY=데이터 개수가 85여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:23 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=53 | SECTION=0 | START_TIME=2022-05-06 19:24:30 | LOG_ENTRY=데이터 개수가 42여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:23 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=54 | SECTION=0 | START_TIME=2022-05-06 19:26:30 | LOG_ENTRY=데이터 개수가 40여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:23 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=55 | SECTION=0 | START_TIME=2022-05-06 20:06:57 | LOG_ENTRY=데이터 개수가 65여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:23 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=56 | SECTION=0 | START_TIME=2022-05-06 21:50:10 | LOG_ENTRY=데이터 개수가 56여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:24 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=57 | SECTION=0 | START_TIME=2022-05-06 21:50:10 | LOG_ENTRY=데이터 개수가 57여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:24 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=58 | SECTION=0 | START_TIME=2022-05-06 22:47:13 | LOG_ENTRY=데이터 개수가 22여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:24 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=59 | SECTION=0 | START_TIME=2022-05-06 23:23:10 | LOG_ENTRY=데이터 개수가 16여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:25 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=60 | SECTION=0 | START_TIME=2022-05-10 23:47:18 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:25 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=61 | SECTION=0 | START_TIME=2022-05-07 02:25:08 | LOG_ENTRY=데이터 개수가 27여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:25 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=62 | SECTION=0 | START_TIME=2022-05-07 02:25:08 | LOG_ENTRY=데이터 개수가 27여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:25 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=63 | SECTION=0 | START_TIME=2022-05-07 02:52:35 | LOG_ENTRY=데이터 개수가 71여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:26 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=64 | SECTION=0 | START_TIME=2022-05-07 00:05:53 | LOG_ENTRY=데이터 개수가 81여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:26 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=65 | SECTION=0 | START_TIME=2022-05-11 00:02:50 | LOG_ENTRY=데이터 개수가 15여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:26 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=66 | SECTION=0 | START_TIME=2022-05-11 00:18:17 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:27 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=67 | SECTION=0 | START_TIME=2022-05-11 00:33:31 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:27 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=68 | SECTION=0 | START_TIME=2022-05-11 00:49:01 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:27 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=69 | SECTION=0 | START_TIME=2022-05-11 01:04:23 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
2024-12-10 14:02:27 - INFO - SHIP_ID=T121129-47401 | OP_INDEX=70 | SECTION=0 | START_TIME=2022-05-11 01:22:01 | LOG_ENTRY=데이터 개수가 14여서 조건을 만족하지 않습니다. | TYPE=MAIN | is_processed=False
